grid_cell,ba,lat,lon,pr,distance_to_grid,population,surface_area_ofs,surface_area_ons
831,Saskatchewan.a,49,-109.375,Saskatchewan,129.3252392,699,0,2527.79
832,Saskatchewan.a,59.5,-108.75,Saskatchewan,11.0229443,0,0,1755.76
833,Saskatchewan.a,59,-108.75,Saskatchewan,63.7724838,0,0,593.99
834,Saskatchewan.a,58.5,-108.75,Saskatchewan,119.1407015,0,0,1607.15
835,Saskatchewan.a,58,-108.75,Saskatchewan,174.6546207,0,0,2037.75
836,Saskatchewan.a,57.5,-108.75,Saskatchewan,230.2088594,0,0,2066.41
837,Saskatchewan.a,57,-108.75,Saskatchewan,129.6771237,0,0,2094.91
838,Saskatchewan.a,56.5,-108.75,Saskatchewan,153.5075605,0,0,1486.27
839,Saskatchewan.a,56,-108.75,Saskatchewan,213.4854095,587,0,1290.86
84,British Columbia.a,54.5,-130.625,British Columbia,29.4771878,627,447,1340.99
840,Saskatchewan.a,55.5,-108.75,Saskatchewan,158.2310005,1014,0,1307.67
841,Saskatchewan.a,55,-108.75,Saskatchewan,103.3451194,1144,0,1765.84
842,Saskatchewan.a,54.5,-108.75,Saskatchewan,50.0550962,728,0,2011.48
843,Saskatchewan.a,54,-108.75,Saskatchewan,22.6483196,6142,0,2036.24
844,Saskatchewan.a,53.5,-108.75,Saskatchewan,68.5748851,163,0,2060.85
845,Saskatchewan.a,53,-108.75,Saskatchewan,41.4272014,4048,0,2085.29
846,Saskatchewan.a,52.5,-108.75,Saskatchewan,39.1718033,20551,0,2343.98
847,Saskatchewan.a,52,-108.75,Saskatchewan,24.3804823,2887,0,2370.79
848,Saskatchewan.a,51.5,-108.75,Saskatchewan,46.0393036,486,0,2397.42
849,Saskatchewan.a,51,-108.75,Saskatchewan,99.1310384,845,0,2423.87
85,British Columbia.a,54,-130.625,British Columbia,31.6984831,12770,678.75,1583.74
850,Saskatchewan.a,50.5,-108.75,Saskatchewan,62.5501128,2134,0,2450.13
851,Saskatchewan.a,50,-108.75,Saskatchewan,46.150885,1821,0,2476.21
852,Saskatchewan.a,49.5,-108.75,Saskatchewan,65.1125836,3308,0,2502.1
853,Saskatchewan.a,49,-108.75,Saskatchewan,111.943935,641,0,2527.79
854,Saskatchewan.a,59.5,-108.125,Saskatchewan,28.3815894,0,0,1950.85
855,Saskatchewan.a,59,-108.125,Saskatchewan,69.0004176,0,0,1385.98
856,Saskatchewan.a,58.5,-108.125,Saskatchewan,122.0603075,0,0,2008.93
857,Saskatchewan.a,58,-108.125,Saskatchewan,176.6875709,0,0,2037.75
858,Saskatchewan.a,57.5,-108.125,Saskatchewan,231.7766054,0,0,2066.41
859,Saskatchewan.a,57,-108.125,Saskatchewan,151.7926652,0,0,2094.91
86,British Columbia.a,53.5,-130.625,British Columbia,82.9243965,295,457.97,1831.86
860,Saskatchewan.a,56.5,-108.125,Saskatchewan,268.8813874,0,0,1698.6
861,Saskatchewan.a,56,-108.125,Saskatchewan,213.4855876,0,0,1936.29
862,Saskatchewan.a,55.5,-108.125,Saskatchewan,158.2312439,635,0,1743.56
863,Saskatchewan.a,55,-108.125,Saskatchewan,103.3454967,2370,0,2207.29
864,Saskatchewan.a,54.5,-108.125,Saskatchewan,50.0558849,0,0,2234.98
865,Saskatchewan.a,54,-108.125,Saskatchewan,22.650084,526,0,2036.24
866,Saskatchewan.a,53.5,-108.125,Saskatchewan,68.5754749,3997,0,2060.85
867,Saskatchewan.a,53,-108.125,Saskatchewan,28.8315088,2694,0,2085.29
868,Saskatchewan.a,52.5,-108.125,Saskatchewan,22.7166442,1775,0,2343.98
869,Saskatchewan.a,52,-108.125,Saskatchewan,31.3720418,3737,0,2370.79
87,British Columbia.a,53,-130.625,British Columbia,137.587259,0,1621.9,695.1
870,Saskatchewan.a,51.5,-108.125,Saskatchewan,80.8630674,3326,0,2397.42
871,Saskatchewan.a,51,-108.125,Saskatchewan,79.2776129,1860,0,2423.87
872,Saskatchewan.a,50.5,-108.125,Saskatchewan,26.4897186,1470,0,2205.12
873,Saskatchewan.a,50,-108.125,Saskatchewan,9.0333096,19084,0,2476.21
874,Saskatchewan.a,49.5,-108.125,Saskatchewan,46.5843653,955,0,2502.1
875,Saskatchewan.a,49,-108.125,Saskatchewan,102.1800437,140,0,2527.79
876,Saskatchewan.a,59.5,-107.5,Saskatchewan,63.0287303,0,0,1950.85
877,Saskatchewan.a,59,-107.5,Saskatchewan,89.3029426,926,0,1385.98
878,Saskatchewan.a,58.5,-107.5,Saskatchewan,134.7566987,0,0,2008.93
879,Saskatchewan.a,58,-107.5,Saskatchewan,185.8108653,0,0,2037.75
88,British Columbia.a,52.5,-130.625,British Columbia,175.2834009,0,2343.98,0
880,Saskatchewan.a,57.5,-107.5,Saskatchewan,115.3828151,0,0,1859.77
881,Saskatchewan.a,57,-107.5,Saskatchewan,114.7422716,0,0,1466.43
882,Saskatchewan.a,56.5,-107.5,Saskatchewan,138.563728,0,0,2123.25
883,Saskatchewan.a,56,-107.5,Saskatchewan,220.7825471,0,0,2151.43
884,Saskatchewan.a,55.5,-107.5,Saskatchewan,168.0671581,0,0,1525.61
885,Saskatchewan.a,55,-107.5,Saskatchewan,118.0261503,0,0,1765.84
886,Saskatchewan.a,54.5,-107.5,Saskatchewan,76.1297624,37,0,1340.99
887,Saskatchewan.a,54,-107.5,Saskatchewan,61.9941557,0,0,1583.74
888,Saskatchewan.a,53.5,-107.5,Saskatchewan,99.4268988,3522,0,2060.85
889,Saskatchewan.a,53,-107.5,Saskatchewan,56.0052704,3037,0,2085.29
89,British Columbia.a,52,-130.625,British Columbia,228.4694854,0,2370.79,0
890,Saskatchewan.a,52.5,-107.5,Saskatchewan,50.6904724,1581,0,2109.58
891,Saskatchewan.a,52,-107.5,Saskatchewan,45.4113713,15509,0,2370.79
892,Saskatchewan.a,51.5,-107.5,Saskatchewan,50.1624932,2340,0,2157.68
893,Saskatchewan.a,51,-107.5,Saskatchewan,44.9435367,3947,0,2181.48
